1769,1396,683
629,616,576,2103,2527,1644,4285,7617,2071,4729,6051,6885,3178,1878,2087,1376,6129
1166
1593
2019
697
1697,1112,80,910,1497,5404,1714,1150,1923,751
1617
2331
941
3274
2364,1339,1938,1733,1915,2361,3632,692,1860,2118,909,918,1112,2148,6269,6398,307,490,769,907,937,963,1444,1499,1660,1679,2463,4135,2480,255,740,1490,1515,1683,1694,2326,2894,3188,3295,5324,3319,2934,2578,7331,1587,3125,1680,3166,3200,1923,6052,1716,681,1715,6165,5387,3883,951,2572,6176,6932
6490,5502,3055
5653,5671,3457,3469,3407
5881,4881
2612,4933,4935,4944,5610
3993,4005,4444,4459
5687
6214
3569
6718,7155,7156,7079,5950,3098
5354,7440,7655,4074,7442,3811,4254,6386,6461,6767,2671,3142,3242,3551,4524,5352,6025,6836,7162
5135,4083,4084,2939,2954,3087,3453,3458,3557,3770,4565,5731,5913,5966,6208,6212,6287,6361,6450,6760,7029,7092,7547,7559,7569,3102,5420,7719,6905,5378
7069
5485
7360,7797
6093,6525,6526
6962
6088
831
1967,3754,1595,7187
1363,1758,1886,3139
1538,3076,3742,3060,3066,6808
1160
1145,841,842
144
1399
508,1028,3290,1360,2074,46,887,1548,7767
2186
685,2189,285
1646
2447
1839
1888
705,1658,1894
52,920
84
1673,1525,2352
774,1208
7757
3937
7767,6543
3201
6166
3199
3879,1005,4209,4795,6948,4272,3885,3889,6122,6539,7759,7677,3179,3877,2342,3154,3178,3271,4274,5406,6171,6593,5937,3881,5451,6933,1931,6126,7345,6400,5483,951,3310,6116,6059,3070
4973
5666,4971
5537,5536,5578
4031
7049,7531,5852,5853,5888,4126,3014,5284,7160,2788,6783,7161,7515,5999,6000,6838,6839,3018,7153,7579,4127,4130,4613,4166,4799,6383,6899,3710,5141,6633,2966,3006,4593,5274,6006,6142,7452
3999
4884,3980,5657,3386
2679,6869
6634
4556,7480
7400,3815
7663,4154,5195,4755,6830,7675,5500,6164,4758,6510,2877,4133,5899,3245,3261,3340,3709,5409,5497
2744
6756,7244,3205
3209
6495,3020,3213
6263,4547,6692
6087
7664,7239,4230,4231,4234,5347,5380,5529,5942,5944,7144,7576,7577,7687,7744
1,445,620,969,1353,1404,1617,2366,20,23,99,107,221,266,270,273,275,380,495,608,647,648,666,799,801,836,991,1015,1020,1021,1161,1162,1167,1168,1191,1192,1210,1231,1252,1365,1410,1425,1645,1783,1794,1833,1967,1971,2027,2166,2202,2221,2223,2225,2407,2435,2442,2468
579,623,854,1846,7,633,1361,1675
1146
2431
1065
1195,1606,1972,1377
2275,2022
1249,1612
2505,2552
1904
5403,315,2336,798,6418
1706,427,2070,3182,7179,88,697,4658,1129,1100,6130,2331,1115,5308
1138,936,5227,893,1300,1470,1935
6542,5449
5255
5320
5502
7699
3962
5768
3503,3433,3569,4980,5745,5775,3501,2652,5647,3546,4884,3547,6198,2609,3981,5105,4443,5124,7394,4883,3398,3449,3548,3980,3989,3995,4439,4891,4988,5134,5581,5657,5678,6203,6997,7005,7403
5626,5539
3514,5097
4417
5116
5642,5006,3095
3522,4010,4015,5056,2639,5732
3697,4719,7281,4637,7042,5351
3474
6363
5756,5739
7521
3088
5343,7553,4538,5230,5231,6009
3096,3603,6435,3040,6370,3030,3292,6385,7396,4090,7640,5341,2823,6034,6464,3019,3029,4082,3094,7201,3704,4377,5298,5500,6164,6779,6862,6867,7318,7581,7599,7799
7536,2931,6327,4070,5270,5962,6738,4625,4594,6722,6856,6843,7086,6844,3849,3724,7118,2941,2943,3680,3804,4316,4317,4320,4325,4764,5357,5433,5444,5528,5940,5941,5945,5965,6011,6079,6081,6085,6086,6363,6365,6380,6515,6562,6792,7138,7146,7295,7310,7566,7651,7747,3323,3243,3304,4773,6536
3257
6797
5446
4361
2375
1981
1205,3129
592,1393,1421,1875,1535,1821,2020,641,215,1276,1435,105,332,1566,2033,1233,2432
1807
2154
5,1987,1406,2236,513,1754,1784
93,325
37
